,skills,degree_names,professional_company_names,related_skils_in_job,start_dates,end_dates
9,"['PLC', 'IEC 61131 (Ladder Logic, Functional Block Diagram, Structured Text, Instruction List.)', 'Java', 'C', 'Visual Basic', 'VHDL', 'PSpice', 'Assembly (Intel, Motorola, TI)', 'Labview', 'AutoCAD', 'Inventor', 'Matlab', 'Microsoft Office', 'PSIM', 'Easy Power', 'Xilinx ISE', 'Printed Circuit Board CAD (Protel)', 'Siemens Step 7', 'Wago CoDeSys', 'Allen Bradley RSLogix', 'ERP (Alliance, Global Shop, XA, SAP)', 'API', 'automation', 'budgeting', 'cabling', 'CAD', 'Conversion', 'client', 'clients', 'DC', 'Designing', 'flash', 'Functional', 'hardware design', 'HP', 'HVAC', 'instruction', 'Intel', 'microprocessor', 'Modeling', 'Motorola', 'Power distribution', 'power generation', 'processes', 'Programming', 'proposals', 'Renovation', 'renovations', 'safety', 'scheduling', 'schematics', 'Siemens', 'simulation', 'staff management', 'Structured', 'Supervising', 'switchgear', 'tender', 'troubleshoot', 'troubleshooting', 'validation']",['Bachelor of Science'],"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[['PLC', 'ERP', 'AutoCAD', 'staff management', 'budgeting', 'scheduling'], ['Modeling', 'hardware design', 'simulation', 'verification', 'validation'], ['Designing', 'supervising', 'technical studies', 'trouble shooting'], ['power distribution', 'construction', 'HVAC'], ['design', 'implementation', 'microprocessor']]","['December 2014', 'May 2011', 'October 2008', 'August 2006', 'January 2005']","['Current', 'December 2014', 'May 2011', 'October 2008', 'August 2006']"
194,"['Machine Learning', 'Software Development', 'Text Analysis', 'Natural Language Processing', 'Image Processing', 'Python', 'Data Management', 'Scikit Learn', 'C', 'C#', '.NET', 'SQL']",['B.Tech'],['HS Institute'],"[['Data Management', 'Machine Learning']]",['May 2019'],['Oct 2019']
406,"['Adobe', 'Customer Relations', 'Document reports', 'Budgeting', 'Cross-functional Team Leadership', 'Business Analysis', 'Access', 'Microsoft Project', 'Organization', 'Advanced Presentation', 'Project Coordinator', 'Python', 'Quality Control', 'Quality Assurance', 'Research', 'Developing other Business Analyst', 'Public Speaking', 'Negotiation', 'SAP', 'SQL', 'SPSS', 'Oracle', 'Fast Learner', 'Strong Requirement tracing', 'Basic financial and operational reporting', 'Superb communication skills', 'Advanced problem solving abilities']",['Bachelor of Arts'],"['Company Name', 'Company Name', 'Company Name']","[['Business process improvement', 'Analytical and Tactical Planning', 'Microsoft Excel', 'Microsoft Word', 'Power Point'], ['Time management', 'Administrative cost reduction', 'Microsoft Excel', 'Microsoft Word'], ['Stakeholder analysis', 'Financial and operation reporting', 'Oracle', 'SQL', 'JIRA', 'SAP']]","['July 2016', 'November 2014', 'May 2014']","['October 2017', 'September 2015', 'November 2014']"
84,"['Troubleshooting and problem solving', 'Exceptional telephone etiquette', 'Professional demeanor', 'Self-starter', 'Time management ability', 'Ability to prioritize', 'Deadline-oriented', 'Employee training and development', 'Sales Software: Salesforce.com, Paperless Proposals', 'Learning Management: Saba LMS, Success Factors LMS, Webex, Pedague Testing System', 'Administrative: Microsoft Office Suite, Concur', 'Technical: Vantive, Clarify']",['Bachelor of Science'],"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None, None, None]","['May 2016', 'October 2014', 'February 2014', 'April 2012', 'June 2011', 'January 2011', 'January 2007', 'October 2001']","['Current', 'May 2016', 'October 2014', 'April 2013', 'March 2012', 'April 2011', 'May 2010', 'January 2007']"
371,"['Machine Learning', 'Method Development', 'Artificial Intelligence', 'Data Modeling', 'Data Visualization', 'Data Validation', 'Deep Learning', 'MySQL', 'MongoDB', 'Python', 'Plotly', 'Seaborn', 'Matplotlib']",['B.Tech'],['BlueM Solutions'],"[['Machine Learning', 'Python']]",['Jun 2020'],['till date']
388,"['Budget forecasting expertise', 'Analytical reasoning', 'Account reconciliation expert', 'Strong organizational skills', 'General ledger accounting', 'Expert in customer relations', 'Flexible team player', 'Advanced computer proficiency (PC and Mac)', 'Performed debit, credit and total accounts on computer spreadsheets/databases, using specialized accounting software.', 'Received, recorded, and banked cash, checks, and vouchers as well as reconciled records of bank transactions.', 'Worked with management to document and offset unusual expense variances in their respective areas.', 'Assisted the CFO with the production of the monthly financials, management reports and board packages.', 'Coded the general ledger and processed vendor invoice payments.', 'Researched and resolved billing and invoice problems.', 'Account reconciliations', 'Accounting', 'Accountant', 'accounting systems', 'accounting system', 'Accounts payable', 'Adobe Acrobat', 'agency', 'Balance', 'banking', 'Budget analysis', 'budget', 'bi', 'cash handling', 'clerical', 'contracts', 'cost accounting', 'Database', 'fax', 'FDS', 'Finance', 'Financial', 'Financial analysis', 'financial management', 'financial operations', 'financial reports', 'financial statements', 'fiscal management', 'forecasting', 'functional', 'fund accounting', 'funds', 'General Ledger', 'Government', 'grants', 'Innovation', 'maintains inventory', 'inventory', 'leadership skills', 'Macintosh', 'Mainframe', 'managerial', 'managerial accounting', 'Access', 'Microsoft Access', 'Microsoft Excel', 'Excel', 'Microsoft Office software', 'Office', 'Outlook', 'PowerPoint', 'Publisher', 'Windows', 'Word', 'Monitors', 'newsletter', 'Payroll', 'IBM-PC', 'copier', 'Policies', 'processes', 'profit', 'Program Development', 'proposals', 'QuickBooks', 'reconciling', 'record keeping', 'repairs', 'reporting', 'scanner', 'technical support', 'phone', 'time management', 'type', 'written', 'annual reports', 'year-end']","[""Master's"", 'BBA']","['Company Name', 'Company Name', 'Company Name']","[['Advanced computer proficiency (PC and Mac)', 'General ledger accounting', 'Researched and resolved billing and invoice problems'], ['Revised and streamlined inefficient work procedures with automation software', 'Reduced time and costs and increased efficiency by introducing new accounting procedures', 'Executed accounts receivable reporting enhancements and reconciliation procedures'], ['Developed and implemented a Microsoft Excel Financial Database system for streamlining all financial and charitable contributions record system for the Church']]","['04/2016', '04/2010', '04/2006']","['Current', '04/2016', 'Current']"
495,"['Project Management', 'Secret Clearance', 'Risk management', 'Performance tracking and evaluation', 'Team building', 'Project analysis', 'Leadership mentoring', 'Business and requirements analysis', 'Operations management', 'Decisive leader']","['Graduate Certificate', 'MBA', 'Bachelor of Science']","['Company Name', 'Company Name', 'Company Name']","[['Project management', 'Leadership', 'Risk management', 'Business development', 'Process improvement'], ['Technical support', 'Project management', 'Risk management'], ['Leadership', 'Training', 'Logistics']]","['01/2004', '01/2002', '07/1991']","['Current', '01/2004', '01/2002']"
30,"['Army', 'basic', 'bridges', 'inspection', 'Inspects', 'Marconi', 'Office', 'Radar', 'multi-meters', 'oscilloscopes', 'personnel', 'radio', 'Read', 'Safety', 'signal generators', 'Telephone', 'troubleshooting', 'VHF']","['Diploma', 'N/A', 'N/A', 'N/A', 'N/A']","['Company Name', 'Company Name', 'Company Name']","[['Supervised construction', 'Read and interpret construction drawings', 'Estimate material, time, labor, and equipment', 'Inspect structures'], ['Circuit analysis', 'Complex test instruments', 'Engineering tools'], ['Circuit analysis', 'Complex test instruments', 'Engineering tools']]","['January 2012', 'January 2000', 'January 1992']","['January 2013', 'Current', 'January 2000']"
316,"['QuickBooks', 'Sage', 'Lacerte', 'Intuit ProSeries', 'Microsoft Word', 'Microsoft Excel', 'Microsoft Access', 'Microsoft Outlook', 'Microsoft Power Pivot', 'Microsoft PowerPoint', 'CalBench', 'FASB & GAAP standards', 'Sarbanes-Oxley', 'Generally Accepted Auditing Standards']","['Master of Science', 'Bachelor of Science']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[['cash receipts', 'A/R', 'A/P', 'notes payable', 'interest payable', 'unearned revenues', 'legal services', 'revenues', 'expenses', 'office supplies', 'insurance', 'payroll processing', 'petty cash', 'reconciliation', 'financial statement analysis', 'tax returns'], ['A/R', 'A/P', 'tangible assets', 'revenue', 'expenses', 'COGS', 'depreciation', 'advertising', 'inventory', 'intangible assets', 'line of credit', 'bad debts', 'credit card transactions', 'financial statements'], ['stocking', 'customer relations', 'loading/unloading', 'order picking/packing'], ['business operations', 'workforce management', 'customer satisfaction', 'social networking']]","['January 2016', 'February 2015', 'May 2010', 'September 1996']","['Current', 'January 2016', 'August 2011', 'March 2004']"
408,"['Machine Learning', 'Software Developer', 'Software Engineering', 'ML Engineer', 'Model Building', 'Deep Learning', 'Numpy', 'Pandas', 'PySpark', 'Hadoop', 'Matplotlib', 'Keras', 'Tensorflow', 'TensorflowJS', 'AngularJS', 'Computer Vision', 'Natural Language Processing', 'HuggingFace', 'Data Wrangling', 'Scikit Learn', 'Algorithm Optimization']",['B.Tech'],['Larsen & Toubro'],"[['Machine Learning', 'Computer Vision', 'Natural Language Processing']]",['Jul 2019'],['Till Date']
